"Package","Version"
"RcppCCTZ","0.2.12"
"RcppDate","0.0.3"
"RcppEigen","0.3.3.9.4"
"RcppGSL","0.3.13"
"RcppParallel","5.1.7"
"RcppTOML","0.2.2"
"RcppZiggurat","0.1.6"
"RCurl","1.98-1.13"
"Rdpack","2.6"
"reactable","0.4.4"
"reactlog","1.1.1"
"reactR","0.5.0"
"readr","2.1.4"
"readxl","1.4.3"
"recipes","1.0.9"
"registry","0.5-1"
"rematch","2.0.0"
"rematch2","2.1.2"
"remotes","2.4.2.1"
"rentrez","1.2.3"
"renv","1.0.3"
"report","0.5.8"
"repr","1.1.6"
"reprex","2.0.2"
"reshape","0.8.9"
"reshape2","1.4.4"
"reticulate","1.34.0"
"rex","1.2.1"
"Rfast","2.1.0"
"rgl","1.2.8"
"RgoogleMaps","1.5.1"
"rhub","1.1.2"
"rio","1.0.1"
"ritis","1.0.0"
"rJava","1.0-10"
"rjson","0.2.21"
"rlang","1.1.2"
"rle","0.9.2"
"rlist","0.4.6.2"
"rmarkdown","2.25"
"rmdfiltr","0.1.3"
"Rmisc","1.5.1"
"Rmpfr","0.9-4"
"RMySQL","0.10.27"
"rncl","0.8.7"
"rngtools","1.5.2"
"rngWELL","0.10-9"
"rnoaa","1.4.0"
"robust","0.7-3"
"robustbase","0.99-1"
"ROCR","1.0-11"
"rootSolve","1.8.2.4"
"rotl","3.1.0"
"roxygen2","7.2.3"
"rpart","4.1.23"
"RPostgreSQL","0.7-5"
"rprintf","0.2.1"
"rprojroot","2.0.4"
"rrcov","1.7-4"
"rredlist","0.7.1"
"rsample","1.2.0"
"rsconnect","1.2.0"
"RSelenium","1.7.9"
"RSQLite","2.3.4"
"rstan","2.32.3"
"rstanarm","2.26.1"
"rstantools","2.3.1.1"
"rstatix","0.7.2"
"rstudioapi","0.15.0"
"rsvg","2.6.0"
"rticles","0.26"
"Rttf2pt1","1.3.12"
"rversions","2.1.2"
"rvest","1.0.3"
"rvg","0.3.3"
"s2","1.1.6"
"sandwich","3.1-0"
"sas7bdat","0.7"
"sass","0.4.8"
"scagnostics","0.2-6"
"scales","1.3.0"
"scatterplot3d","0.3-44"
"scico","1.5.0"
"see","0.8.1"
"selectr","0.4-2"
"semver","0.2.0"
"seriation","1.5.4"
"sessioninfo","1.2.2"
"sets","1.0-25"
"sf","1.0-15"
"sfheaders","0.4.3"
"shades","1.4.0"
"shape","1.4.6"
"shiny","1.8.0"
"shinyAce","0.4.2"
"shinybusy","0.3.2"
"shinydashboard","0.7.2"
"shinydashboardPlus","2.0.3"
"shinydisconnect","0.1.1"
"shinyEffects","0.2.0"
"shinyjqui","0.4.1"
"shinyjs","2.1.0"
"shinystan","2.6.0"
"shinytest","1.5.3"
"shinythemes","1.2.0"
"shinyWidgets","0.8.0"
"showimage","1.0.0"
"showtext","0.9-6"
"showtextdb","3.0"
"slider","0.3.1"
"smd","0.6.6"
"sna","2.7-2"
"solrium","1.2.0"
"som","0.3-5.1"
"sourcetools","0.1.7-1"
"sp","2.1-2"
"sparkline","2.0"
"sparklyr","1.8.4"
"SparseM","1.81"
"spatial","7.3-17"
"spatialreg","1.3-1"
"spData","2.3.0"
"spdep","1.3-1"
"speedglm","0.3-5"
"spelling","2.2.1"
"splus2R","1.3-4"
"SQUAREM","2021.1"
"StanHeaders","2.26.28"
"stargazer","5.2.3"
"stars","0.6-4"
"statmod","1.5.0"
"statnet.common","4.9.0"
"statsExpressions","1.5.2"
"stinepack","1.4"
